First name,Last name,Weight,Gender,Date of birth,Donation date,Sickness,ID number,Expiration date,Blood type,Email address,Mobile number,Hemoglobin level
aaa,bbb,55,f,1990.10.10,,n,111444aa,2017.10.10,a+,a@g.com,+36203334444,187
aaa,bbb,55,f,1990.10.10,,n,111444ba,2017.10.10,a+,a@g.com,+36203334444,187
aaa,bbb,55,f,1990.10.10,,n,111444ca,2017.10.10,a+,a@g.com,+36203334444,187
aaa,bbb,55,f,1990.10.10,,n,111444ga,2017.10.10,a+,a@g.com,+36203334444,187
aaa,bbb,55,f,1990.10.10,,n,111444ja,2017.10.10,a+,a@g.com,+36203334444,187
